No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
133,5.96E-08,1.37E-09,5.523099661,0.890912169,5.523099661,0.890912169,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:3 8:3 9:6 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:17  from:3 to:4 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,41
136,5.96E-08,1.04E-09,6.499805212,1.059736644,6.499805212,1.059736644,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:6 8:7 9:8 ,from:0 to:1 operator:12  from:0 to:3 operator:12  from:0 to:4 operator:12  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,42
137,1.19E-07,1.30E-09,5.72170496,0.989145391,5.72170496,0.989145391,0:1 1:1 2:1 3:1 4:1 5:2 6:4 7:4 8:4 9:6 ,from:0 to:1 operator:-1  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:12  from:4 to:5 operator:-1  from:4 to:6 operator:17  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,42
139,5.96E-08,6.48E-10,6.372460127,1.042529004,6.372460127,1.042529004,0:1 1:1 2:1 3:1 4:1 5:2 6:4 7:5 8:5 9:7 ,from:0 to:1 operator:-1  from:0 to:5 operator:12  from:0 to:7 operator:8  from:0 to:9 operator:13  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:6 operator:-1  from:4 to:9 operator:12  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,42
143,1.19E-07,1.85E-09,7.028111458,0.971822179,7.028111458,0.971822179,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:5 8:6 9:13 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,44
144,1.19E-07,2.01E-09,5.903066993,0.983628991,5.903066993,0.983628991,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:7 8:8 9:10 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:5 operator:12  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,44
146,1.19E-07,2.94E-09,6.045999527,0.54632844,6.045999527,0.54632844,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:3 8:5 9:6 ,from:0 to:1 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:2 to:7 operator:-1  from:2 to:8 operator:16  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:6 to:8 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,45
149,1.19E-07,1.97E-09,6.907202005,0.969402544,6.907202005,0.969402544,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:6 8:7 9:15 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,45
150,1.19E-07,1.15E-09,6.154660463,0.47405492,6.154660463,0.47405492,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:7 8:8 9:17 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:13  from:3 to:6 operator:-1  from:3 to:7 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:-1  from:8 to:9 operator:-1  ,45
151,5.96E-08,9.08E-10,6.330198526,1.013258657,6.330198526,1.013258657,0:1 1:1 2:1 3:1 4:2 5:2 6:3 7:6 8:7 9:9 ,from:0 to:1 operator:-1  from:0 to:4 operator:-1  from:0 to:8 operator:-1  from:0 to:9 operator:-1  from:1 to:2 operator:-1  from:1 to:7 operator:8  from:1 to:9 operator:-1  from:2 to:3 operator:13  from:2 to:6 operator:12  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:7 operator:12  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,45
