No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
1275,2.38E-07,6.93E-09,3.055801809,0.310293211,3.055801809,0.310293209,0:1 1:1 2:1 3:2 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:5  from:0 to:3 operator:4  from:0 to:4 operator:5  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:4 operator:10  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,851
1278,1.19E-07,5.96E-10,3.807765216,0.807380204,3.807765216,0.807380204,0:1 1:1 2:1 3:2 4:3 5:3 6:6 7:6 8:6 9:6 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:6 operator:4  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,852
1280,2.98E-07,1.47E-08,3.948444908,0.224886559,3.948444908,0.224886557,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,853
1282,2.98E-07,1.21E-08,3.764771104,0.399472638,3.764771044,0.399472637,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:11  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,854
1283,2.98E-07,1.60E-08,4.118833303,0.287349693,4.118833303,0.287349692,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:-1  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:11  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,854
1284,2.98E-07,1.66E-08,3.794383407,0.238375026,3.794383466,0.238375024,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:20 ,from:0 to:1 operator:-1  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:6 to:9 operator:16  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,854
1288,1.79E-07,8.87E-09,4.669415951,0.511619266,4.669415951,0.511619266,0:1 1:1 2:1 3:3 4:5 5:5 6:5 7:5 8:10 9:20 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:4  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:2 to:4 operator:4  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,857
1299,0,0,3.981999174,0.749328232,3.981999174,0.749328232,0:1 1:1 2:1 3:2 4:3 5:3 6:3 7:6 8:6 9:6 ,from:0 to:1 operator:-1  from:0 to:3 operator:4  from:0 to:4 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:11  from:3 to:4 operator:-1  from:4 to:5 operator:4  from:4 to:7 operator:5  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:4  from:8 to:9 operator:-1  ,866
1300,2.98E-07,1.46E-08,4.113438547,0.208897261,4.113438547,0.208897258,0:1 1:1 2:1 3:3 4:4 5:4 6:4 7:4 8:8 9:16 ,from:0 to:1 operator:13  from:0 to:3 operator:16  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:5  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,866
1302,2.98E-07,1.46E-08,4.327566624,0.339546895,4.327566624,0.339546894,0:1 1:1 2:2 3:4 4:5 5:5 6:5 7:5 8:10 9:20 ,from:0 to:1 operator:-1  from:0 to:2 operator:16  from:0 to:3 operator:4  from:0 to:4 operator:16  from:1 to:2 operator:-1  from:1 to:3 operator:13  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:5  from:4 to:8 operator:10  from:4 to:9 operator:8  from:5 to:6 operator:5  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:7 to:9 operator:5  from:8 to:9 operator:-1  ,867
