No,torch_tf_max_diff,torch_tf_mean_diff,tfjsmsedge_torch_max_diff,tfjsmsedge_torch_mean_diff,tfjsmsedge_tf_max_diff,tfjsmsedge_tf_mean_diff,channels,model
124,0,0,6.115151763,1.126807922,6.115151763,1.126807922,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:1 to:4 operator:19  from:2 to:3 operator:19  from:3 to:6 operator:19  from:4 to:5 operator:19  from:5 to:8 operator:19  from:6 to:7 operator:19  from:7 to:8 operator:19  
214,5.96E-08,2.04E-09,5.279110432,1.0025801,5.279110432,1.0025801,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:1 9:1 10:2 ,from:0 to:1 operator:19  from:1 to:2 operator:19  from:2 to:3 operator:13  from:2 to:4 operator:19  from:3 to:7 operator:19  from:4 to:5 operator:19  from:5 to:6 operator:19  from:6 to:10 operator:19  from:7 to:8 operator:19  from:8 to:9 operator:19  from:9 to:10 operator:19  
